employee_id,first_name,last_name,salary,hire_date,department_id,department,residence_city,age,job_level
1,Rosalinda,Eede,122478.85,2/25/2017,1,Marketing,Monte Novo,49,Executive
2,Nicholas,Brandle,90782.55,1/23/2020,1,Marketing,San Manuel,53,Executive
3,Laurene,Zoane,129701.37,7/4/2007,1,Sales,Sunjia Buzi,51,Executive
4,Celinka,Obbard,32698.22,7/26/2021,3,Sales,KwaMbonambi,39,Mid Level
5,Godfree,Stemp,24768.95,7/26/2019,2,IT,Krajan Caluk,21,Entry Level
6,Leta,Stubbington,147039.14,12/21/2001,5,Marketing,Suwatu,47,Senior Level
7,Ernst,Aucott,40190.41,3/2/2011,3,Finance,Diffa,20,Entry Level
8,Alyce,Menzies,92949.18,9/1/2012,4,IT,Cravinhos,37,Entry Level
9,Inglis,Norton,78186.01,1/5/2002,2,Finance,Yangzhong,24,Senior Level
10,Isak,Barette,80766.17,2/20/2007,5,Marketing,Sunne,28,Mid Level
11,Tamar,Duiguid,49458.3,9/9/2006,2,Finance,Västerås,38,Entry Level
12,Tedie,Lobe,45187.84,2/24/2017,4,IT,Yelyzavethradka,30,Senior Level
13,Zelda,Imorts,37967.04,6/29/2016,5,IT,Miragoâne,48,Mid Level
14,Gothart,Laville,96809.3,2/6/2003,5,IT,Bergen,54,Senior Level
15,Allsun,Esby,146529.9,9/3/2006,1,Finance,Huai’an,51,Mid Level
16,Stephannie,Ball,113347.61,11/23/2021,5,Marketing,Weichanglu,60,Executive
17,Kristel,Shivell,66186.32,1/27/2016,4,Sales,Carrascal,54,Executive
18,Ferdy,Deverall,94883.99,4/30/2016,3,IT,Huangsha,31,Mid Level
19,Adolphe,Lerego,121547.57,9/20/2001,5,Finance,Biały Bór,54,Senior Level
20,Isadora,Antoney,48471.3,4/30/2020,2,Marketing,Dubovka,26,Senior Level
21,Kile,Branthwaite,91668.41,3/26/2015,3,Sales,Nyanza,36,Entry Level
22,Prince,Buff,86728.89,8/28/2010,4,Sales,Landi Kotal,55,Executive
